Review,Sentiment
"Love!! We have the kung pao chicken, broccoli beef and of course the soup dumplings and they were all amazing",1
The new location that JH has moved into was a great idea. It is incredibly clean and fun atmosphere. The dumplings and Chinese far were spot on. I absolutely love their soup dumplings and they never disappoint. Cannot wait to return.,1
Delicious food. If you asked me to recommend a place to eat in Chinatown I would recommend this restaurant.,1
"I have been looking forward to Joe's Shanghai for quite some time, and finally got to go! This location is in Chinatown along with many other yummy Asian eateries. My friend and I split an order of pork soup dumplings, chicken lo mein, and shrimp fried rice, and it was plenty of food. The portions are pretty big which is good for eating in in large groups. All of our food was delicious and came out timely, even with a crowded restaurant. The soup dumplings were delicious and full of flavor, I would definitely recommend ordering these. The noodles were also very flavorful, they may have been my favorite item we got. The shrimp fried rice could have had a little more flavor, but nothing a little soy sauce couldn't fix! I would definitely recommend Joe's for a great meal in town!",1
I always come here just for the dumplings when in Chinatown! The restaurant is always busy but the dumplings come out quick. Delicious!!!!,1
"My friend T told me that I'd wake up thinking about soup dumplings the following day.  I thought this was impossible because the only food I wake up thinking about is Five Guys Burgers.

I hate when T is right, but he was right.  I almost don't mind that I burned the crap out of my mouth on the first try though my lower lip is bright red and I no longer have taste buds.  I still want to go back now.  Like, right now.  Soup dumplings are great (I only had the pork) though there is definitely an art to eating it correctly which I obviously have not mastered.

We also had the crispy beef which was good too, but was not soup dumplings.  

Place is pretty big, wait was 45 minutes on a Friday around 6:30 (we got foot massages across the street while we waited) and they seat patrons in wherever they can fit you.",1
"I looooooove the soup dumplings.  Get the crab meat one, because it is tastier.

The shanghai noodles are great as well.

I just do not come here often, because there are ALWAYS lines, and we always had to share tables with other patrons (except 1 time when I went in with 5 others)

Do not expect good service, because this restauarnt  is ALWAYS packed.",1
"Just like every other popular restaurant in Chinatown, you'll likely share a 10-person table with strangers, the wait will be long, and the service will be curt by American standards; that's all just part of the experience. 

The soup dumplings are among the best in town -- they're probably the richest, so don't come expecting a light, delicate broth -- and the wrappers are wonderfully paper-thin (in fact, that might even be a detriment, as they're hard to pick up without breaking lol).

The rest of the menu is only okay, but I always say that every restaurant has its specialties, and you have to know what to order, and sometimes more importantly, what NOT to order.",1
"This place has amazing xiaolong bao(soup dumplings) for the price along with delicious sautéed green beans that weren't overly salty, and a green onion pancake that is actually layered and flaky. I haven't found a good green onion pancake anywhere but LA so I'm happy to finally find one that isn't one dense piece. The service is efficient and they timed our dishes well while constantly refilling our drinks. Their fried calamari could use a little more seasoning in my opinion but other than that it was fried well. The spicy beef noodle soup had a delicious flavor, the broth wasn't overly salty and it had a nice kick of spice and flavor from the cilantro. I highly recommend this place but remember it's CASH ONLY",1
"If you are a fan of steamed soup dumplings, this is the place.

I can easily eat an order of Crab AND Pork dumplings by myself in a single sitting.  Maybe even a third order.

They are filled with super hot liquid so I like to hold the dumpling in the soup spoon and puncture the dumpling with a chopstick.  As the liquid oozes into the spoon.  Let it cool off a liitle and then slurp some of the soup.  Then take a bite of the dumpling.  

So juicy, so good.

You may want to wear an old shirt when you eat here as you end up squirting yourself at some point during your meal.

Cheers!
N.",1
Great dimsum place and in my opinion the best soup dumpling in the city. I always go to the Chinatown location as they have more options. Other dishes such as jellyfish and noodles are also great.,1
"I think the food here might be the best on planet earth and I'll leave it at that.
The soup dumplings r impeccable
The scallion pancakes r to die for.",1
"Food is super good. Shanghainese dumplings, eggplant, chives pancake...

Just don't expect nice service. Service is fast and efficient. You may have to share a table with strangers - no prob. You have to eat and then leave; if you linger, they will look over your shoulder and ask, ""need anything else?""",1
"I will literally travel halfway across the country for these Pork Soup Dumplings. I lived in Shanghai for a few months last year, and I can honestly say that the soup dumplings here are even better than many places in Shanghai. The other Chinese dishes here are pretty good as well. They're usually pretty packed, so don't expect stellar service. Honestly, it's pretty sufficient for a busy restaurant.",1
"Loveeee this place & their pork soup dumplings. 

They also have great scallion pancakes.  Service pretty good but it's the food that never disappoints.

Expect a long wait evenings/ weekends.",1
"Was recommended by a friend to try it out because it's a popular Chinese place and she was right. It was sooo busy when we went. Place is also not too big. Tables were pretty close to each other. We were lucky to get a table right away but then lines started to form after us. There was no empty table. Service was okay. They don't really come check on you but they are busy, so maybe that's why. The staff recommended the beef with string beans which we got and I really liked it. The beef was well marinated and not chewy at all. We also got a hot and sour soup, jelly fish, and soup dumplings for appetizer. Everything was pretty good. 
Note: this place is cash only. Not sure if it's a common thing in Chinatown NY but we didn't know.",1
